name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,board,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID,Custom,Voucher,Artist
"Saheeli, the Gifted",4,"Legendary Planeswalker - Saheeli",RU,"c18","44",mythic,null,Owned,Foil,mainboard,false,,,"","",-1,false,false,"Ryan Pancoast"
"Grist, the Hunger Tide",3,"Legendary Planeswalker - Grist",BG,"dsc","220",mythic,null,Owned,Non-foil,mainboard,false,,,"","",131065,false,false,"Yongjae Choi"
"The Jolly Balloon Man",3,"Legendary Creature - Human Clown",RW,"dsk","219",rare,null,Owned,Non-foil,mainboard,false,,,"","",130569,false,false,"Campbell White"
"Marneus Calgar",5,"Legendary Creature - Astartes Warrior",BUW,"40k","175",mythic,null,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Slawomir Maniak"
"Bruce Banner",1,"Legendary Creature - Human Scientist Hero",U,"msh","49",mythic,null,Owned,Non-foil,mainboard,false,,,"","",152281,false,false,"Tommy Arnold"
"Nick Fury, Agent of S.H.I.E.L.D.",1,"Legendary Creature - Human Spy Hero",W,"msh","25",rare,null,Owned,Non-foil,mainboard,false,,,"","",152233,false,false,"Marco Turini"
"The Wandering Minstrel",2,"Legendary Creature - Human Bard",GU,"fin","249",rare,null,Owned,Non-foil,mainboard,false,,,"","",141465,false,false,"Thanh Tuấn"
"Thanos, the Mad Titan",3,"Legendary Creature - Eternal Villain",BRW,"msh","233",mythic,null,Owned,Non-foil,mainboard,false,,,"","",152655,false,false,"Björn Barends"
"Terra, Magical Adept",3,"Legendary Creature - Human Wizard Warrior",GR,"fin","245",mythic,null,Owned,Non-foil,mainboard,false,,,"","",141453,false,false,"Clare Wong"
"Infinite Guideline Station",5,"Legendary Artifact - Spacecraft",BGRUW,"eoe","219",rare,null,Owned,Non-foil,mainboard,false,,,"","",143051,false,false,"Piotr Dura"
"Jegantha, the Wellspring",5,"Legendary Creature - Elemental Elk",GR,"mul","174",rare,null,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Steve Ellis"
"Omnath, Locus of All",5,"Legendary Creature - Phyrexian Elemental",BGRUW,"mom","313",rare,null,Owned,Non-foil,mainboard,false,,,"","",109546,false,false,"Jessica Rossier"
"Urza, Academy Headmaster",5,"Legendary Planeswalker - Urza",BGRUW,"ust","136",mythic,null,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Terese Nielsen"
"Super-Skrull",4,"Legendary Creature - Skrull Shapeshifter Villain",B,"msh","115",rare,null,Owned,Non-foil,mainboard,false,,,"","",152417,false,false,"Zoltan Boros"
"King T'Challa",3,"Legendary Creature - Human Noble Hero",UW,"msh","219",mythic,null,Owned,Non-foil,mainboard,false,,,"","",152625,false,false,"Aaron J. Riley & Eric Wilkerson"
"Crystal Vein",0,"Land",,"6ed","322",uncommon,null,Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Pat Lewis"
"Ultron, Artificial Malevolence",3,"Legendary Artifact Creature - Robot Villain",,"msh","252",mythic,null,Owned,Non-foil,mainboard,false,,,"","",152693,false,false,"Nino Is"
"Iron Man, Titan of Innovation",5,"Legendary Artifact Creature - Human Hero",RU,"mar","91",mythic,null,Proxied,Non-foil,mainboard,false,,,"","",150421,false,false,"Jong-Ju Kim"
"Geier Reach Sanitarium",0,"Legendary Land",,"emn","203",rare,null,Owned,Non-foil,mainboard,false,,,"","",61280,false,false,"Cliff Childs"
"Reveillark",5,"Creature - Elemental",W,"2x2","26",rare,null,Owned,Non-foil,mainboard,false,,,"","",101536,false,false,"Jim Murray"
"Sun Titan",6,"Creature - Giant",W,"otc","87",mythic,null,Owned,Non-foil,mainboard,false,,,"","",124633,false,false,"Todd Lockwood"
"Fateful Absence",2,"Instant",W,"mid","18",rare,null,Owned,Non-foil,mainboard,false,,,"","",92962,false,false,"Eric Deschamps"
"Get Lost",2,"Instant",W,"lci","14",rare,null,Owned,Non-foil,mainboard,false,,,"","",117806,false,false,"Eli Minaya"
"Airbender Ascension",2,"Enchantment",W,"tla","6",rare,null,Owned,Non-foil,mainboard,false,,,"","",144488,false,false,"Shiren"
